Salón,Entidad,Distrito,ZORE,ARE,Responsable,Codigo,ID_survey,LINK,,,,
0102-24095,1,2,24,95,David,29475,118264,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118264&ou=29475,,,,
0102-24131,1,2,24,131,David,29476,117586,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117586&ou=29476,,,,
0103-01001,1,3,1,1,David,29479,120382,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120382&ou=29479,,,,
0103-01003,1,3,1,3,David,29481,119877,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119877&ou=29481,,,,
0103-01004,1,3,1,4,David,29482,120225,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120225&ou=29482,,,,
0103-01006,1,3,1,6,David,29484,122206,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=122206&ou=29484,,,,
0103-02007,1,3,2,7,David,29485,117502,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117502&ou=29485,,,,
0103-02008,1,3,2,8,David,29486,120605,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120605&ou=29486,,,,
0103-02009,1,3,2,9,David,29487,120171,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120171&ou=29487,,,,
0103-02010,1,3,2,10,David,29488,120357,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120357&ou=29488,,,,
